Case,alg,viz,inv,scramble
EG1 AS-1,BU'R2F2U'F,B U' R2 F2 U' F z2,F' U F2 R2 U B',B' L U2 B2 L F'
EG2 AS-1,LF'L2FULUL2U'L'B2L2,L F' L2 F U L U L2 U' L' B2 L2,L2 B2 L U L2 U' L' U' F' L2 F L',L D F D F2 D F L' U2 F
CLL AS-2,LF'L2FULUL2U'L,L F' L2 F U L U L2 U' L,L' U L2 U' L' U' F' L2 F L',L' U L2 U' F U2 F' U' L2
EG1 AS-2,RU'R'F'U'F2RU'R',R U' R' F' U' F2 R U' R',R U R' F2 U F R U R',F U F2 L F2 L2 U' L U
EG2 AS-2,L'U'LU'L'U2L'B2L2,L' U' L U' L' U2 L' B2 L2,L2 B2 L U2 L U L' U L,F U F' U F U2 F R2 F2
CLL AS-3,F'LFL'U2L'U2L,F' L F L' U2 L' U2 L,L' U2 L U2 L F' L' F,L' U2 L U2 L F' L' F
EG1 AS-3,F'LFL'U'RUR2F'R,F' L F L' U' R U R2 F' R,R' F R2 U' R' U L F' L' F,F U2 F U' F2 L F2 L'
EG2 AS-3,L'ULF'LFLF2L2,L' U L F' L F L F2 L2,L2 F2 L' F' L' F L' U' L,L F' L' F L2 F2 L U' L
CLL AS-4,L'ULF'LFL',L' U L F' L F L',L F' L' F L' U' L,L F' L' F L' U' L
EG1 AS-4,FRU'R2F'RUF'LFL',F R U' R2 F' R U F' L F L',L F' L' F U' R' F R2 U R' F',L' F' L U' F U2 L2 F2 L'
EG2 AS-4,F'LFL'U2L'U2L'B2L2,F' L F L' U2 L' U2 L' B2 L2,L2 B2 L U2 L U2 L F' L' F,R D2 L' F2 L' F L' F
CLL AS-5,LFL2U'LFLF'L2UL,L F L2 U' L F L F' L2 U L,L' U' L2 F L' F' L' U L2 F' L',F2 L F U2 L U2 F' L' F2
EG1 AS-5,L'ULU'L'ULULFL'F',L' U L U' L' U L U L F L' F',F L F' L' U' L' U' L U L' U' L,F L F' U L' U' L2 U' L
EG2 AS-5,RU2R'U2R'FRFR2B2,R U2 R' U2 R' F R F R2 B2 z2,B2 R2 F' R' F' R U2 R U2 R',F' U' L F' L2 D F' D L'
CLL AS-6,RU2R'U2R'FRF',R U2 R' U2 R' F R F',F R' F' R U2 R U2 R',F L' U' L U2 L F2 L'
EG1 AS-6,LF'L2ULU'R'FRF',L F' L2 U L U' R' F R F',F R' F' R U L' U' L2 F L',L' U2 L F2 U' F U2 F
EG2 AS-6,LFL2U'LFLF'L2UL'B2L2,L F L2 U' L F L F' L2 U L' B2 L2,L2 B2 L U' L2 F L' F' L' U L2 F' L',F L F U' L D2 B' R2 U'
