Buffer UF	UB	UR	UL	LU	LF	LD	LB	FR	FD	FL	RU	RB	RD	RF	BU	BL	BD	BR	DF	DR	DB	DL
RD	[U': [R E R', U2]]	[U', R E R']	[U': [R E R', U']]	[R' F R: [S, R2]]	[M' U R': [E, R2]]	[R' F R': [S', R2]]	[R' F: [R2, E']]	[R' Fw R': [S', R2]]	[U': [S', R' F' R]]	[R E: [E, R' U' R]]	[F' R: [E, R2]]	[R, U' S U]		[R', U' S U]	[U' D': [R' F' R, S]]	[R' E': [E', R U' R']]	[U': [S', R B R']]	[S U L': [E, L2]]	[R' F: [E, R2]]		[U': [R' B R, S]]	[S', R F R']
RF	[U: [L E' L', U2]]	[U: [L E' L', U]]	[U, L E' L']	[R M U: [M', U2]]	[U E R': [S, R2]]	[M' U' L': [E', L2]]	[Lw' U' L': [E', L2]]		[M': [U R U', M']]	[L' U L, E']	[S': [U, L E' L']]	[M' U' R: [S, R2]]	[U' S U, R']		[M', U R U']	[L: [U, L E' L']]	[U Lw: [E', L' U' L]]	[R' U' R, E]	[R2 F: [E, R2]]	[U' E' R: [E, R2]]	[M': [U R U', M2]]	[U E L: [E, L2]]
BU		[Rw': [U' R U, M']]	[Lw: [U L' U', M']]	[L' U' L U, M']	[U' L' U, M']	[U' D: [S, R' F' R]]	[U' L U, M']	[M, U' R U]	[U': [S, R' F' R]]	[M, U L' U']	[R U R' U', M']	[U R' U', M']	[U' D': [S, R' F' R]]	[U R U', M']		[M, U L U']	[U': [S, R B R']]	[M, U' R' U]	[U: [R' F' R, S]]	[U D': [R' F' R, S]]	[U: [R B R', S]]	[U D: [R' F' R, S]]
BL	[L' U: [S', L2]]	[U', R' E2 R]	[Uw: [L' E L, U']]	[U' Lw U: [M', U2]]	[E', L U L']	[S' U' R': [E', R2]]		[R' U' R': [E', R2]]	[U L U', M']	[U' L: [S', L2]]	[S U' R': [E', R2]]	[E, L U L']	[R' E': [R U' R', E']]	[L2: [E', L' U L]]	[U L U', M]		[U: [L, U M U']]	[R U' R': [E', R2]]	[U' L U: [M', U2]]	[U' R': [E', R2]]	[U L U', M2]	[U' D2 R': [E', R2]]
BD	[U' M' U': [M', U2]]	(U M U M')2	(U' M U' M')2	M' (U M' U M)2 M	[U' M: [U, R' E R]]	[U: [S', R D R']]	[U' M: [U, R E' R']]	[U2: [M, U R U']]	U' M' U M U2 M U' M' U'	[U2: [M, U' L' U]]	M' (U' M' U' M)2 M	[U M: [U', R' S' R]]	[U': [R B R', S']]	[U M: [U', L E' L']]	[U': [R B R', S]]	[U2: [M, U' L U]]		[U2: [M, U R' U']]	[D': [S', R F R']]	[D' R' F: [E, R2]]		[D L F': [E', L2]]
BR	[R U': [S, R2]]	[Uw': [R E' R', U]]	[U, L E2 L']	[S' U L: [E, L2]]	[R2: [E, R U' R']]	[R S: [R' U R, S]]	[E', R' U' R]	[U R': [S, R2]]	[U' R' U, M']	[R U' R': [E, R2]]	[R Uw' R: [E', R2]]		[S U L: [E, L2]]	[E, R' U' R]	[U' R' U, M]	[R U' R: [E', R2]]	[U': [R', U' M U]]		[U R' U': [M', U2]]	[U D2 L: [E, L2]]	[U' R' U, M2]	[U L: [E, L2]]
DF	[U2, M']	[M U2 M, U]	[M U2 M, U']	[L' F: [E', L2]]	[L2 F: [E', L2]]	[L F: [E', L2]]	[F: [E', L2]]	[U R U: [M', U2]]		[U' L' U': [M', U2]]	[R F': [E, R2]]	[F': [E, R2]]	[R' F': [E, R2]]	[R2 F': [E, R2]]	[U: [S, R' F' R]]	[U' L U': [M', U2]]	[D': [R F R', S']]	[U R' U: [M', U2]]		[R' F': [R S' R', F2]]	M Uw2 M Uw2	[L F: [L' S L, F2]]
DR	[U': [S, R2]]	[R U R: [S, R2]]	U R U R' U' R' U' R' U R	[Rw: [U', L E' L']]	[U' E' R: [E', R2]]	[L' F' L, S]	[Uw' R': [E, R2]]	[U D2 L: [E', L2]]	[U R' F' R': [S, R2]]	[U' R': [E, R2]]	[R' F R, S']	[Uw' R: [E', R2]]		[U' E' R': [E, R2]]	[U D': [S, R' F' R]]	[U' R: [E', R2]]	[D' R' F': [E, R2]]	[U D2 L': [E, L2]]	[R' F: [R S' R', F2]]		[D' R' F': [R S' R', F2]]	[U': [R2, S']]
DB	[M, U2]	[R U R' U': [M, U2]]	[L' U' L U: [M, U2]]	[D: [L F' L', S]]	[M: [U' L' U, M2]]	[U: [S', Rw D' Rw']]	[M: [U' L U, M2]]	[M2, U' R U]	[D: [R F R', S']]	[M2, U L' U']	[D': [R' F R, S']]	[M: [U R' U', M2]]	[U': [S, R' B R]]	[M: [U R U', M2]]	[U: [S, R B R']]	[M2, U L U']		[M2, U' R' U]	Uw2 M' Uw2 M'	[D' R' F: [R S' R', F2]]		[D L F': [L' S L, F2]]
DL	[U: [S', L2]]	U' L' U' L U L U L U' L'	[L' U' L': [S', L2]]	[L F' L', S]	[U E L: [E', L2]]		[Uw L': [E, L2]]	[U L: [E', L2]]	[U' L F L: [S', L2]]	[U' D2 R': [E, R2]]	[R': [F, R' S' R]]	[Uw L: [E', L2]]	[R F R', S']	[U E L': [E, L2]]	[U D: [S, R' F' R]]	[U' D2 R: [E', R2]]	[D L F: [E', L2]]	[U L': [E, L2]]	[L F': [L' S L, F2]]	[U': [S', R2]]	[D L F: [L' S L, F2]]	
