WX	[U R U': [R' D' R, U2]]		XZ	[R D': [R' D R, U]]		ZS	[R D: [R D' R', U']]																																																			
WZ	[U' R' U'D: [R D' R', U2]]		XS	[U' R U: [R' U' R, D]]		ZQ	[x': [R U' R', D']]																																																			
WQ	[U R: [U2, R D R']]		XQ	[R' U: [R' D' R, U]]		ZR	[x': [R U2 R', D']]																																																			
WR	[U' R' U': [R D' R', U2]]		XR	[U': [R' U' R, D']]		ZT	[R U R', D']																																																			
WT	[UD R: [U2, R D' R']]		XF	[U' R': [R' D R, U]]		ZF	[R D: [U, R' D' R]]																																																			
WF	[U' R': [R' D R, U2]]		XE	[R U' D' R' : [R' D R, U2]]		ZH	[R U' R' D R: [U, R D' R']]																																																			
WE	[U' D' R': [R' D R, U2]]		XG	[R2 D2: [R U R', D]]		ZG	[R: [R D' R', U']]																																																			
WH	[F': [U2, R D R']]																																																									
WG	[U'D R': [R' D R, U2]]																																																									
B/D Face Stickers																																																										
SQ	[R, U' L' U]		RT	[U': [R', U' L U]]																																																						
SR	[R' U: [D2, R U' R']]		RF	[x': [D2, R U2 R']]																																																						
ST	[R U': [R' U R, D]]		RE	[U'D' R': [R' D R, U]]																																																						
SF	[UD R' U': [R U R', D']]		RH	[U R: [D2, R U' R']]																																																						
SE	[U R' U': [R U R', D']]		TF	[D' R: [R D' R', U']]																																																						
SH	[D R U': [R' U R, D']]		TE	[D' R D: [U, R' D' R]]																																																						
SG	[R U': [R' U R, D']] 		TG	[R U' D' : [D2, R' U R]]																																																						
QR	[U' R' U': [R D' R', U']]		FE	[U' R' F' : [R U' R', D']]																																																						
QT	[R2 U : [R D R', U2]]		FH	[U' R2: [R2 U R2 U' R2, D]]																																																						
QF	[U' R': [R' D R, U']]		FG	[x U: [R' D R, U2]]																																																						
QE	[U'D' R': [R' D R, U']]		EH	[F' R U': [R' D' R, U2]]																																																						
QH	[U R : [D', R U' R']]		EG	[R U' R' U: [R D' R', U2]]																																																						
QG	[U'D R': [R' D R, U']]		HG	[z: [R U2 R', D2]]																																																						
